2026-01-16 16:44:11,816 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-16 16:44:14,477 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-16 16:45:13,504 - INFO - Phone migrated to 4
2026-01-16 16:45:13,656 - INFO - Reconnecting to new data center 4
2026-01-16 16:45:13,952 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2026-01-16 16:45:13,953 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2026-01-16 16:45:13,954 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2026-01-16 16:45:16,399 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2026-01-16 16:48:22,732 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-16 16:48:23,290 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-16 16:48:23,967 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-16 16:48:25,294 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-16 16:48:26,605 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-16 16:48:27,934 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-16 16:48:30,252 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-16 16:48:30,640 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-16 16:48:32,287 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-16 16:48:34,449 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-16 16:48:37,723 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-16 16:48:39,941 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-16 16:48:40,790 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-16 16:48:42,341 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-16 16:48:43,416 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-16 16:48:44,330 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-16 16:48:45,635 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-16 16:48:46,954 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-16 16:48:48,347 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-16 16:48:48,852 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-16 16:48:49,315 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-16 16:48:49,850 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-16 16:48:52,257 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-16 16:48:53,808 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-16 16:48:55,140 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-16 16:48:57,108 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-16 16:48:59,031 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-16 16:49:00,564 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
